,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
256554,4050003600,4050001800,4050001900,1,106,000,1117,산록북로,0,0,0,60,0,0,0,0,386.937392276052,20230519,,,
256753,4060344200,4060131600,4060132100,1,107,000,-,태위로,0,0,0,30,0,0,0,0,129.538246246004,20230519,,,
256754,4060455500,4060168700,4060168800,1,107,000,-,표선백사로,0,0,0,40,0,0,0,0,88.852464813331,20230519,,,
256794,4060035300,4060002400,4060028500,1,107,000,-,동홍중앙로,0,0,0,40,0,0,0,0,71.970015463283,20230519,,,
256945,4050566300,4050190200,4050190300,1,106,000,1136,중산간동로,0,0,0,20,0,0,0,0,66.045304445764,20230519,,,
257116,4060015000,4060007100,4060007000,2,106,000,1136,중산간동로,0,0,0,60,0,0,0,0,283.671128275972,20230519,,,
257131,4060079500,4060035000,4060037000,1,107,000,-,동홍동로26번길,0,0,0,50,0,0,0,0,58.215162324711,20230519,,,
257133,4050121200,4050042700,4050041100,1,107,000,-,삼무로9길,0,0,0,50,0,0,0,0,118.231835294991,20230519,,,
257134,4050121700,4050041400,4050042400,1,107,000,-,남녕로,0,0,0,50,0,0,0,0,123.418882107335,20230519,,,
257135,4050131700,4050044300,4050010801,1,107,000,-,대동길,0,0,0,50,0,0,0,0,228.066112060446,20230519,,,
257136,4050132005,4050044401,4050044403,1,107,000,-,삼봉로,0,0,0,60,0,0,0,0,430.575071614101,20230519,,,
257137,4050139100,4050046300,4050047300,3,107,000,-,연삼로,0,0,0,50,0,0,0,0,124.154588151098,20230519,,,
257150,4060042600,4060018900,4060019500,2,107,000,-,태평로,0,0,0,50,0,0,0,0,130.532444140195,20230519,,,
257151,4060058200,4060021300,4060024200,2,107,000,-,동홍로,0,0,0,50,0,0,0,0,377.505789008489,20230519,,,
257225,4050317900,4050090000,4050090100,2,107,000,-,도남로,0,0,0,60,0,0,0,0,244.654682870413,20230519,,,
257241,4050542600,4050162200,4050162700,2,106,000,1132,일주서로,0,0,0,60,0,0,0,0,256.093660344239,20230519,,,
257473,4050047100,4050026300,4050004203,1,107,000,-,구산로4길,0,0,0,10,0,0,0,0,585.259282972235,20230519,,,
257735,4050616101,4050208301,4050208201,2,107,000,-,-,0,0,0,60,0,0,0,0,123.836342204322,20230519,도로명없음,,
257957,4060294200,4060098100,4060098400,2,107,000,-,동일하모로,0,0,0,30,0,0,0,0,26.026135624951,20230519,,,
257969,4050342400,4050097600,4050097400,1,107,000,-,연무정길,0,0,0,50,0,0,0,0,302.776798024585,20230519,,,
257971,4050358700,4050066401,4050111900,1,107,000,-,매촌4길,0,0,0,50,0,0,0,0,122.429489976306,20230519,,,
257980,4050166400,4050054400,4050056400,2,107,000,-,용문로,0,0,0,60,0,0,0,0,719.143508807515,20230519,,,
257988,4050189300,4050061400,4050061800,1,107,000,-,선반로2길,0,0,0,30,0,0,0,0,129.286151284755,20230519,,,
258004,4060017905,4060007804,4060007805,1,106,003,1136,중산간동로,0,0,0,50,0,0,0,0,20.010624510511,20230519,,,
258006,4050168900,4050055100,4050055200,1,107,000,-,도두항서5길,0,0,0,50,0,0,0,0,53.791117620585,20230519,,,
258026,4050191900,4050062300,4050062200,2,107,000,-,관덕로,0,0,0,50,0,0,0,0,214.137747151163,20230519,,,
258030,4050198700,4050064200,4050066800,1,107,000,-,무근성7길,0,0,0,30,0,0,0,0,285.210373989576,20230519,,,
258031,4050201800,4050065300,4050067000,1,107,000,-,서해안로,0,0,0,40,0,0,0,0,311.981460801918,20230519,,,
258032,4050205101,4050066600,4050066601,1,107,000,-,북성로,0,0,0,40,0,0,0,0,95.061600387149,20230519,,,
258033,4050211500,4050069200,4050069700,1,107,000,-,원당로5길,0,0,0,30,0,0,0,0,168.852263973137,20230519,,,
258034,4050236500,4050116300,4050174600,1,107,000,-,신촌북2길,0,0,0,50,0,0,0,0,371.884175937063,20230519,,,
258087,4060445600,4060165900,4060166300,1,107,000,-,표선관정로,0,0,0,30,0,0,0,0,234.42813480831,20230519,,,
258088,4060444500,4060148300,4060150900,1,107,000,-,원님로,0,0,0,50,0,0,0,0,1911.11993863686,20230519,,,
258138,4060004703,4060002701,4060000805,3,106,000,1132,일주서로,0,0,0,70,0,0,0,0,1231.29899498172,20230519,,,
258193,4060026100,4060021500,4060017800,1,107,000,-,대포로,0,0,0,50,0,0,0,0,506.064066866904,20230519,,,
258197,4060216200,4060072000,4060071900,1,107,000,-,중문로81번길,0,0,0,50,0,0,0,0,126.47444055214,20230519,,,
258318,4050489800,4050163600,4050163500,1,107,000,-,광상로,0,0,0,60,0,0,0,0,54.773036482575,20230519,,,
258326,4050515500,4050171200,4050170600,1,107,000,-,광성로,0,0,0,60,0,0,0,0,271.471231107693,20230519,,,
258351,4050617901,4050056400,4050209101,2,107,000,-,-,0,0,0,70,0,0,0,0,184.931098099422,20230519,도로명없음,,
258370,4050279600,4050204400,4050202500,1,107,000,-,세화1길,0,0,0,40,0,0,0,0,339.60058095668,20230519,,,
258394,4050003803,4050001101,4050001102,1,106,000,1139,1100로,0,0,0,60,0,0,0,0,1037.00019770773,20230519,,,
258429,4050374000,4050116800,4050117000,1,107,000,-,용고로,0,0,0,60,0,0,0,0,566.669853644626,20230519,,,
258481,4050024101,4050011900,4050011801,3,106,000,1132,서광로,0,0,0,60,0,0,0,0,180.310644787274,20230519,,,
258521,4050023600,4050011400,4050011600,3,106,000,1131,중앙로,0,0,0,50,0,0,0,0,227.281741814701,20230519,,,
258522,4050023413,4050006706,4050013001,1,106,000,1136,중산간동로,0,0,0,50,0,0,0,0,255.788052864715,20230519,,,
258523,4050023701,4050011501,4050011500,3,106,000,1132,서광로,0,0,0,50,0,0,0,0,129.832098423472,20230519,,,
258524,4050023500,4050011600,4050011400,3,106,000,1131,중앙로,0,0,0,50,0,0,0,0,227.238650644822,20230519,,,
258525,4050023412,4050006707,4050006706,1,106,000,1136,중산간동로,0,0,0,50,0,0,0,0,1248.97147138623,20230519,,,
258526,4050023414,4050013001,4050013000,1,106,000,1136,중산간동로,0,0,0,50,0,0,0,0,62.696255435698,20230519,,,
258527,4050023802,4050011501,4050011700,3,106,000,1132,서광로,0,0,0,50,0,0,0,0,445.554382740177,20230519,,,
258529,4050023801,4050011500,4050011501,3,106,000,1132,서광로,0,0,0,50,0,0,0,0,131.362860098751,20230519,,,
258530,4050023702,4050011700,4050011501,3,106,000,1132,서광로,0,0,0,50,0,0,0,0,445.722805893507,20230519,,,
258616,4050028800,4050013900,4050014100,3,106,000,1132,일주동로,0,0,0,50,0,0,0,0,111.254626802828,20230519,,,
258617,4050028901,4050014000,4050014001,2,106,000,1131,중앙로,0,0,0,50,0,0,0,0,72.440863113693,20230519,,,
258725,4060025702,4060016801,4060023700,1,107,000,-,중문상로,0,0,0,30,0,0,0,0,72.849068827971,20230519,,,
258822,4050582900,4050203600,4050203700,1,107,000,-,세평항로,0,0,0,30,0,0,0,0,35.32527856909,20230519,,,
258823,4060001309,4060000802,4060000808,3,106,000,1132,일주서로,0,0,0,70,0,0,0,0,123.541707643575,20230519,,,
258831,4050134600,4050011500,4050008700,3,107,000,-,신대로,0,0,0,50,0,0,0,0,430.847272756853,20230519,,,
259019,4050528500,4050181700,4050180600,2,105,000,97,번영로,0,0,0,70,0,0,0,0,379.874471829425,20230519,,,
259206,4050613100,4050193500,4050193600,2,106,000,1132,일주동로,0,0,0,50,0,0,0,0,151.021833579912,20230519,,,
259207,4060003500,4060001900,4060002200,2,106,000,1132,일주동로,0,0,0,30,0,0,0,0,96.837727722492,20230519,,,
259267,4060065902,4060041103,4060041100,1,107,000,-,색달로64번길,0,0,0,50,0,0,0,0,319.757311737652,20230519,,,
259383,4060471800,4060173100,4060172500,2,106,000,1132,일주동로,0,0,0,70,0,0,0,0,1343.97928053,20230519,,,
259401,4060040900,4060024000,4060023700,1,107,000,-,천제연로,0,0,0,30,0,0,0,0,204.931207392697,20230519,,,
