,Id,NODE_TYPE,NODE_NAME,TURN_P,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,latitude,longitude
201930,4060184800,101,성산리399-102,0,20230519,,,,33.458265625808004,126.92895792665752
201931,4060185400,101,제주성산리치유클래시아아파트,0,20230519,,,,33.46027604562518,126.93094097384773
202267,4050002400,101,산록도로입구교차로,0,20230519,,,,33.446455772711104,126.55737260589176
202268,4050002401,101,산과교,0,20230519,,,,33.44763327239423,126.55612838614633
202269,4050002501,101,진흥원삼거리,0,20230519,,,,33.44510417954733,126.48875726070962
202270,4050004011,101,영평동2444-1,0,20230519,,,,33.4793680556869,126.56371765406669
202271,4050004300,101,월산정수장입구,1,20230519,,,,33.47825733552645,126.46808069933458
202272,4050004901,101,노형동1432-1,0,20230519,,,,33.48268154334931,126.47470966038266
202273,4050005000,101,제주우편집중국앞교차로,1,20230519,,,,33.48207967971336,126.48120922996381
202274,4050005700,101,노형초교유치원,1,20230519,,,,33.48464233539994,126.47712379189697
202275,4050006501,101,중앙여고교차로,0,20230519,,,,33.48810305489892,126.53999311199549
202276,4050007600,101,제주은행신제주지점,1,20230519,,,,33.49080542914911,126.49665829255069
202277,4050007700,101,대기고교입구교차로,1,20230519,,,,33.49184810887532,126.59187225514894
202278,4050009000,101,오일장앞교차로,1,20230519,,,,33.49355039757818,126.47924088645901
202279,4050009100,101,조양아파트,1,20230519,,,,33.49375477208631,126.49350544891401
202280,4050009400,101,오일장입구,0,20230519,,,,33.493598085391824,126.47716382355105
202281,4050010500,101,외도초교앞삼거리,1,20230519,,,,33.49366105385526,126.43378919802774
202282,4050010802,101,이호이동778-3,0,20230519,,,,33.49518735900072,126.46025040463402
202283,4050011501,101,신제주입구,0,20230519,,,,33.49790552290635,126.49826198087766
202284,4050012300,101,CGV제주점,1,20230519,,,,33.500292022519176,126.52673016814187
202285,4050012800,101,문예회관앞교차로,1,20230519,,,,33.504058522421886,126.53644616775414
202286,4050013501,101,이도일동1525-2,1,20230519,,,,33.50850280918057,126.52394645603636
202287,4050014201,104,별도교,0,20230519,,,,33.51370852319019,126.5544827921978
202288,4050017201,101,월평동771-2,0,20230519,,,,33.45958781431184,126.5744571577388
202289,4050017800,102,대우특판,0,20230519,,,,33.462894116054954,126.51464444828876
202290,4050021801,101,도남동1052,0,20230519,,,,33.487371365867276,126.51971252364429
202291,4050021900,104,연북2교동측,0,20230519,,,,33.48094589778254,126.51831979241808
202292,4050022000,104,연북2교서측,0,20230519,,,,33.48102711644279,126.51661548024212
202293,4050022901,101,오라이동3827-6,1,20230519,,,,33.48162335483185,126.50112406904579
202294,4050023003,101,아라일동2547-1,1,20230519,,,,33.4845569392605,126.5357020167733
202295,4050024100,101,KT&G제주지점,1,20230519,,,,33.482031210668936,126.48480541822278
202296,4050025200,101,한국건강관리협회제주지부,0,20230519,,,,33.48235430362148,126.49302160499433
202297,4050025301,101,외도일동2552-16,0,20230519,,,,33.48314464974929,126.43819786126097
202298,4050026300,101,구산마을입구,0,20230519,,,,33.483158241361885,126.53768394868757
202299,4050028100,101,부영아파트,0,20230519,,,,33.48408621027333,126.43433119930299
202300,4050030300,101,노형1근린공원,0,20230519,,,,33.48552539726095,126.47178029206226
202301,4050032301,101,아라일동2470-4,1,20230519,,,,33.48683337793008,126.53915909119858
202302,4050033900,101,제동프린스빌,0,20230519,,,,33.48739021041984,126.47947029236039
202303,4050036100,103,속성변화점,0,20230519,,,,33.48844580401359,126.5108719801675
202304,4050036200,103,속성변화점,0,20230519,,,,33.488461178367096,126.51460994861873
202305,4050039100,101,제주썬호텔앤카지노,1,20230519,,,,33.48983992946411,126.49334098079306
202306,4050039400,101,제주시농협신제주지점,1,20230519,,,,33.48991392889347,126.49084676061831
202307,4050039900,101,초록우산어린이재단,0,20230519,,,,33.49008730401014,126.52870566809234
202308,4050041900,101,연동세기2차아파트,0,20230519,,,,33.49144439841221,126.48731157388661
202309,4050044701,101,오라삼동2744-7,1,20230519,,,,33.49340400928392,126.50178939082937
202310,4050045002,101,이도이동256-4,0,20230519,,,,33.495624923959134,126.54754470549375
202311,4050045100,101,제주세기아파트,1,20230519,,,,33.493458273158325,126.50012819907707
202313,4050045400,101,제주한교회,0,20230519,,,,33.49435989725337,126.51977994875315
202314,4050047900,101,청향웨딩홀,0,20230519,,,,33.49683739773679,126.53272754275065
202315,4050053500,101,도두추억애거리,0,20230519,,,,33.503473178758675,126.46339994932706
202316,4050057700,101,용담연립,0,20230519,,,,33.50853133525409,126.51639532326841
202317,4050058600,101,온현교,0,20230519,,,,33.50995296107689,126.5262914175376
202318,4050058700,101,헤르지아아파트,0,20230519,,,,33.50996336684703,126.50503344900366
202319,4050058902,101,용담일동2578,0,20230519,,,,33.5115946164174,126.51964589483266
202320,4050059501,101,화북이동3708-1,0,20230519,,,,33.511513068081086,126.56412831671528
202321,4050059900,101,대성종합상사,1,20230519,,,,33.511934804037836,126.5729900431336
202322,4050060101,101,용담이동456-13,0,20230519,,,,33.51453434999813,126.51374342791351
202323,4050060600,101,화북일동2168,0,20230519,,,,33.51237014777268,126.5636204177951
202324,4050061800,101,현대모비스,0,20230519,,,,33.512924523048966,126.56077019886426
202325,4050062201,101,일도일동1196-1,0,20230519,,,,33.5140398597864,126.52846423646157
202326,4050063800,101,태성에프엔비,0,20230519,,,,33.51389667960372,126.56669904281367
202327,4050065400,102,북성교,0,20230519,,,,33.514737648027214,126.52838032338852
202328,4050066400,101,도련이동579-7,1,20230519,,,,33.51543249132877,126.58957354320948
202329,4050067100,102,사라봉공원입구,0,20230519,,,,33.51619514735412,126.54767494853778
202330,4050068801,101,화북일동1995-7,0,20230519,,,,33.52381028301338,126.56739173908443
202331,4050070001,101,삼양일동1938-3,0,20230519,,,,33.52917241653513,126.5893502995505
202332,4050073400,102,해안동896-9,0,20230519,,,,33.46466289168584,126.46005852972952
202333,4050078700,104,화삼교동측,0,20230519,,,,33.51426889189291,126.57796634245766
202334,4050079102,101,화북일동29-8,1,20230519,,,,33.51737687978911,126.57787883284333
202335,4050080700,102,봉성리4554-11,0,20230519,,,,33.35826851945935,126.36221080876912
202336,4050081300,101,대림리1885-1,0,20230519,,,,33.420144674772025,126.26656870547667
202337,4050082700,101,하귀1리587,0,20230519,,,,33.480630258017584,126.41330572310741
202338,4050082900,102,하귀1리46-1,0,20230519,,,,33.486396315625996,126.41978013197793
202339,4050086600,101,노형동행정복지센터,0,20230519,,,,33.48321356465614,126.47762516690352
202340,4050087100,101,노형동3818,1,20230519,,,,33.48198869617362,126.47675024913707
202341,4050088200,102,오라삼동2993-1,0,20230519,,,,33.48743820233319,126.50307295099132
202342,4050092700,101,이도이동2062,0,20230519,,,,33.49212950118236,126.539482287512
202343,4050093300,101,아라이동3018,0,20230519,,,,33.49297109470066,126.5442318738543
202344,4050094100,101,아라이동3016,0,20230519,,,,33.49269612221785,126.54349443913928
202345,4050094800,101,아라이동2075,0,20230519,,,,33.494012638742475,126.54224453914833
202346,4050096000,101,용담일동2578,0,20230519,,,,33.509952453075336,126.51842149805572
202347,4050100100,103,속성변화점,0,20230519,,,,33.44305169650096,126.57109235177116
202348,4050101200,101,영평동2173-2,0,20230519,,,,33.452067380347415,126.57314212306841
202349,4050102700,102,선흘리478-3,0,20230519,,,,33.45620917141815,126.7132175471278
202350,4050104200,101,도련일동2010,0,20230519,,,,33.515918713852614,126.57967868671825
202351,4050104500,101,화북이동3445-3,0,20230519,,,,33.50848612872676,126.5625302069982
202352,4050105900,101,봉개동2389-27,0,20230519,,,,33.48918837761156,126.59296519990706
202353,4050106500,101,봉개동1954-1,1,20230519,,,,33.49052156280004,126.59256522665363
202354,4050107300,101,봉개교차로,0,20230519,,,,33.48815517651699,126.59747731689289
202355,4050109600,101,도련일동2291-3,0,20230519,,,,33.507852956681276,126.5848657871938
202356,4050119600,101,신창사거리,1,20230519,,,,33.34882817694523,126.18624816540346
202357,4050119700,101,두모리3023-8,0,20230519,,,,33.354277555953885,126.18698698021335
202358,4050119900,101,신창리994-7,0,20230519,,,,33.33437604867985,126.18865491715368
202359,4050120400,101,한원리교차로,0,20230519,,,,33.33557913631631,126.19701500844849
202360,4050121900,103,속성변화점,0,20230519,,,,33.29357266750454,126.21857649699022
202361,4050126300,101,무릉오거리,0,20230519,,,,33.27461555378737,126.24172060556945
202362,4050126500,103,속성변화점,0,20230519,,,,33.31800957566577,126.24226492988588
202363,4050127200,101,청수리3389,0,20230519,,,,33.29040211682164,126.24412938593954
202364,4050131700,101,자몽호텔,0,20230519,,,,33.41460301031848,126.26149574864229
202365,4050136100,101,상명리삼거리,0,20230519,,,,33.35835788385713,126.27165173181332
202366,4050137600,103,속성변화점,0,20230519,,,,33.427816960581865,126.27734126150983
202367,4050138100,101,동명사거리,0,20230519,,,,33.39221055392455,126.27851044870224
202368,4050138200,101,고림동사거리,0,20230519,,,,33.37485694762129,126.27922394834465
202369,4050139000,101,대림리590-2,0,20230519,,,,33.42133695896818,126.2825786134456
202370,4050139300,103,속성변화점,0,20230519,,,,33.383489653322755,126.28383923937467
202371,4050139600,101,대림리652-1,0,20230519,,,,33.42200490391851,126.28379259294334
202372,4050142000,101,상대리2942-3,0,20230519,,,,33.41555412242935,126.29613814241773
202373,4050142200,102,한림천주교회공원묘지,0,20230519,,,,33.40330829612267,126.29644529339444
202374,4050145400,101,금악리삼거리,0,20230519,,,,33.34516200229964,126.31627143698952
202943,4050147200,101,애월리686-9,0,20230519,,,,33.45842656313081,126.32240130901351
202944,4050148000,101,애월샷시,0,20230519,,,,33.462214348214474,126.32655111119922
202945,4050148100,101,만나가든,0,20230519,,,,33.46333764493514,126.32662463066596
202946,4050153400,101,금악리산92,0,20230519,,,,33.35180303471932,126.35999998843181
202947,4050156200,101,용흥교차로,0,20230519,,,,33.451854397953895,126.369067011225
202948,4050156600,101,어음2교차로,0,20230519,,,,33.380446988360646,126.37078324788133
202949,4050158300,103,속성변화점,0,20230519,,,,33.401459394381774,126.37992609932672
202950,4050166100,101,고성리1305-7,1,20230519,,,,33.45796664342811,126.4100767635607
202951,4050166300,101,S-Oil,0,20230519,,,,33.42751655798988,126.41069461317875
202952,4050167000,101,하귀1리201-11,0,20230519,,,,33.482896781089984,126.41286919993014
